City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
461,Pasni,PK,77.4,scattered clouds,25.26,63.47,3G hotel pasni
465,Nago,JP,80.01,clear sky,26.59,127.98,Hotel Yugaf Inn Okinawa
467,Mentakab,MY,76.53,overcast clouds,3.49,102.35,neotel hotel kuala lumpur
469,Ondjiva,AO,76.91,scattered clouds,-17.07,15.73,SOS Motel
474,Nagaur,IN,77.92,clear sky,27.2,73.73,Ranvas Nagaur
476,Lompoc,US,80.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
478,Sarangani,PH,82.85,moderate rain,5.4,125.46,Ballistic Islet
479,Pangkalanbuun,ID,76.03,moderate rain,-2.68,111.62,Grand Kecubung Hotel
481,Bilma,NE,82.56,clear sky,18.69,12.92,Expeditions Ténére voyages
483,Naranjal,EC,82.4,few clouds,-2.67,-79.62,Media Naranja
485,Dwarka,IN,86.43,light rain,22.24,68.97,Hotel Narayan Avezika Comfort
487,Mayumba,GA,76.51,broken clouds,-3.43,10.66,LIKWALE LODGE
496,Planaltina,BR,82.4,broken clouds,-15.45,-47.61,Retiro Maranata
505,Banda Aceh,ID,81.3,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
510,Madras,IN,78.8,heavy intensity rain,13.09,80.28,"Taj Connemara, Chennai"
511,Porbandar,IN,83.26,overcast clouds,21.64,69.61,Lords Inn Porbandar
514,Innisfail,AU,77.18,clear sky,-17.53,146.03,Moondarra Motel
522,Santa Quiteria,BR,75.83,scattered clouds,-4.33,-40.16,Tahen Hotel
529,El Rosario,MX,88.0,clear sky,24.26,-107.18,Mi casa
530,Santa Cruz,BO,77.0,scattered clouds,-17.8,-63.17,Hotel Cortez
533,San Matias,BO,83.12,scattered clouds,-16.37,-58.4,"HOTEL ""SAN JOSE"""
534,Mackay,AU,79.0,overcast clouds,-21.15,149.2,International Lodge Motel
543,Nhulunbuy,AU,84.2,broken clouds,-12.23,136.77,East Arnhem Real Estate
544,Feijo,BR,77.43,light rain,-8.16,-70.35,Hotel e Restaurante Aҫai
545,Sharjah,AE,80.6,clear sky,25.36,55.4,Swiss Belhotel Sharjah
547,Itapirapua,BR,78.48,broken clouds,-15.82,-50.61,Hotel Nossa Senhora Aparecida
558,Inirida,CO,76.53,broken clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
