City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Leshukonskoye,RU,2020-10-13 02:48:11,64.9,45.76,44.69,91,100,8.23
123,Port Blair,IN,2020-10-13 02:48:11,11.67,92.75,82.8,79,97,15.93
124,Bonthe,SL,2020-10-13 02:48:12,7.53,-12.51,77.23,84,100,3.87
125,Malindi,KE,2020-10-13 02:48:12,-3.22,40.12,79.21,79,92,8.19
126,Egvekinot,RU,2020-10-13 02:48:12,66.32,-179.17,23.9,95,15,1.05
127,Hithadhoo,MV,2020-10-13 02:48:12,-0.6,73.08,82.13,72,24,13.13
128,Sao Felix Do Xingu,BR,2020-10-13 02:48:12,-6.64,-51.99,71.31,91,1,1.63
129,Touros,BR,2020-10-13 02:48:13,-5.2,-35.46,73.4,88,20,2.24
130,Conway,US,2020-10-13 02:48:13,35.09,-92.44,57.0,87,75,4.74
131,Saskylakh,RU,2020-10-13 02:48:13,71.92,114.08,20.95,97,98,8.5
132,Ilhabela,BR,2020-10-13 02:48:14,-23.78,-45.36,70.29,85,77,6.67
133,Lompoc,US,2020-10-13 02:48:15,34.64,-120.46,68.0,45,1,7.45
134,Buraydah,SA,2020-10-13 02:48:15,26.33,43.98,59.0,41,0,2.24
135,Esperance,AU,2020-10-13 02:48:15,-33.87,121.9,69.8,60,3,11.41
136,Awbari,LY,2020-10-13 02:48:16,26.59,12.78,69.12,25,5,6.04
137,Zabaykalsk,RU,2020-10-13 02:48:16,49.63,117.32,30.42,73,54,20.42
138,Acapulco,MX,2020-10-13 02:48:16,16.86,-99.89,82.4,78,20,2.24
139,Teacapan,MX,2020-10-13 02:48:17,22.55,-105.75,83.07,73,100,6.24
140,Haines Junction,CA,2020-10-13 02:44:06,60.75,-137.51,36.07,82,96,2.93
141,New Norfolk,AU,2020-10-13 02:48:17,-42.78,147.06,61.0,40,0,3.0
142,Tabuk,PH,2020-10-13 02:48:17,17.42,121.44,84.9,67,61,4.25
143,Salamanca,ES,2020-10-13 02:48:18,40.83,-6.0,48.99,93,53,3.62
144,Clyde River,CA,2020-10-13 02:48:18,70.47,-68.59,26.6,100,90,5.82
145,Chambery,FR,2020-10-13 02:48:19,45.57,5.93,42.01,93,100,1.12
